cod_localidad,id_provincia,id_departamento,categoria,provincia,departamento,localidad,nombre,direccion,piso,cp,web,latitud,longitud,tipo_latitud_longitud,fuente,sector,pantallas,butacas,tipo_de_gestion,espacio_incaa,año_actualizacion
06756010,06,06756,Salas de cine,Buenos Aires,San Isidro,Martínez,Hoyts Unicenter,Parana 3745,,1640,https://www.cinemarkhoyts.com.ar/,-34.508921,-58.523471,Precisa,INCAA / SInCA,Cine,16,3427,Privada,No,2022
06532020,06,06532,Salas de cine,Buenos Aires,Mercedes,Mercedes,Cine Mercedes,Calle 20 728,,6600,http://cinemercedes.com/,-34.652278,-59.433057,Precisa,INCAA / SInCA,Cine,1,190,Privada,No,2022
06280040,06,06280,Salas de cine,Buenos Aires,General Alvarado,Miramar,Cine Atlantico,Calle 21 1564,,7607,http://www.cineteatroatlantico.com.ar/,-38.268129,-57.841066,Precisa,INCAA / SInCA,Cine,1,902,Privada,No,2022
06560010,06,06560,Salas de cine,Buenos Aires,Moreno,Moreno,Hoyts Moreno,Av. Victorica 1128,,1744,https://www.cinemarkhoyts.com.ar/,-34.635647,-58.791968,Precisa,INCAA / SInCA,Cine,10,2476,Privada,No,2022
06568010,06,06568,Salas de cine,Buenos Aires,Morón,Morón,Hoyts Moron,Juan Manuel De Rosas 658,,1744,https://www.cinemarkhoyts.com.ar/,-34.634968,-58.629305,Precisa,INCAA / SInCA,Cine,8,1865,Privada,No,2022
06568010,06,06568,Salas de cine,Buenos Aires,Morón,Morón,T. Municipalidad G. De La Ferrere,Alte. Brown 990,,1708,http://www.moron.gob.ar,-34.651188,-58.621931,Precisa,INCAA / SInCA,Cine,1,133,Pública,Si,2022
06861010,06,06861,Salas de cine,Buenos Aires,Vicente López,Munro,Lumiton,Sargento Cabral 2354,,1605,https://lumiton.ar/,-34.527919,-58.515934,Precisa,INCAA / SInCA,Cine,1,30,Pública,No,2022
06861010,06,06861,Salas de cine,Buenos Aires,Vicente López,Munro,Showcase Norte,E. Echeverria 3750,,1605,https://www.todoshowcase.com/,-34.514341,-58.522151,Precisa,INCAA / SInCA,Cine,17,4214,Privada,No,2022
06581040,06,06581,Salas de cine,Buenos Aires,Necochea,Necochea,Cine Ocean,Calle 83 350,,7630,https://www.cinesocean.com.ar/,-38.579616,-58.731164,Precisa,INCAA / SInCA,Cine,3,1620,Privada,No,2022
06595070,06,06595,Salas de cine,Buenos Aires,Olavarría,Olavarría,Cine Paris,General Paz 2720,,7400,http://www.cineparis.com.ar,-36.894039,-60.323944,Precisa,INCAA / SInCA,Cine,2,383,Privada,No,2022
